"ticker","word","n","tf","idf","tf_idf"
"11B","mady",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","mniejsz",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","nieogłoszony",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","osiągnie",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","poszczególć",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","recenzja",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","rozdawać",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","uniwersu",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","wyżej wymieniony",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","xadesopinia",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","xhtmlopinia",1,0.000125596583772921,3.38439026334577,0.000425067855230567
"11B","membro",2,0.000251193167545843,1.67964217110735,0.000421914637304031
"11B","niezależność",2,0.000251193167545843,1.67964217110735,0.000421914637304031
"11B","przereagować",2,0.000251193167545843,1.67964217110735,0.000421914637304031
"11B","red",2,0.000251193167545843,1.67964217110735,0.000421914637304031
"11B","równoważny",2,0.000251193167545843,1.67964217110735,0.000421914637304031
"11B","ciekawy",8,0.00100477267018337,0.413975797776073,0.000415951567722756
"11B","list",8,0.00100477267018337,0.413975797776073,0.000415951567722756
"11B","aktualnie",6,0.000753579502637528,0.551176919289558,0.00041535562870351
"11B","kurs",26,0.00326551117809596,0.126293725324292,0.000412413571769856
"11B","ciężko",4,0.000502386335091685,0.819440905884237,0.000411675913531393
"11B","pierwotnie",4,0.000502386335091685,0.819440905884237,0.000411675913531393
"11B","faza",9,0.00113036925395629,0.363965377201412,0.00041141527189308
"11B","audytorski",3,0.000376789751318764,1.08180517035173,0.000407613101112181
"11B","bieżący miesiąc",3,0.000376789751318764,1.08180517035173,0.000407613101112181
"11B","korelacja",3,0.000376789751318764,1.08180517035173,0.000407613101112181
"11B","back",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","creep",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","król",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","natura",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","rozgrywać",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","wycenowy",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","zdyskontować",2,0.000251193167545843,1.59263079411772,0.000400057973905481
"11B","zaskoczenie",4,0.000502386335091685,0.78170057790139,0.000392715688470932
"11B","bać",3,0.000376789751318764,1.0330150061823,0.000389229467287979
"11B","wskazano",3,0.000376789751318764,1.0330150061823,0.000389229467287979
"11B","potencjał",15,0.00188394875659382,0.206336432997829,0.000388727266386263
"11B","pamiętać",7,0.00087917608641045,0.439951284179334,0.000386794648236038
"11B","wspomnieć",5,0.000627982918864607,0.611801541105993,0.000384200917549606
"11B","atestacja",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","basis",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","członkowski",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","kreować",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","short",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","xhtmloświadczenie",2,0.000251193167545843,1.51258808644418,0.000379951792626019
"11B","zarobić",4,0.000502386335091685,0.745332933730516,0.000374445081000008
"11B","późno",11,0.00138156242150214,0.2708749541354,0.000374230657559583
"11B","androida",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","anonymous",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","attachment",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","box",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","catalogue",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","cyberpunki",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","gawkowski",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","gry",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","indik",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","niezwyciężonego",1,0.000125596583772921,2.97892515523761,0.000374142822813063
"11B","obligation",1,0.000125596583772921,2.97892515523761,0.000374142822813063
