"article_id","topic","gamma"
"01a9fefea488d694e6846f766af738eb",2,0.000630751963655813
"01a9fefea488d694e6846f766af738eb",3,0.000630744530773608
"01a9fefea488d694e6846f766af738eb",4,0.268797298477672
"01a9fefea488d694e6846f766af738eb",5,0.231313321693019
"01aa634df3fbdac86c46fb64068090e5",1,0.300877424747114
"01aa634df3fbdac86c46fb64068090e5",2,0.554965102525482
"01aa634df3fbdac86c46fb64068090e5",3,0.00116940619826344
"01aa634df3fbdac86c46fb64068090e5",4,0.001169273958075
"01aa634df3fbdac86c46fb64068090e5",5,0.141818792571066
"01b1f1ba3eba9a06f9bbdd2202de0fd2",1,0.236924688630391
"01b1f1ba3eba9a06f9bbdd2202de0fd2",2,0.094038184489702
"01b1f1ba3eba9a06f9bbdd2202de0fd2",3,0.000994996702394192
"01b1f1ba3eba9a06f9bbdd2202de0fd2",4,0.000994893520036798
"01b1f1ba3eba9a06f9bbdd2202de0fd2",5,0.667047236657476
"01be28e7f951c0105f7d66205c445c22",1,0.00266608404479254
"01be28e7f951c0105f7d66205c445c22",2,0.00266578281368306
"01be28e7f951c0105f7d66205c445c22",3,0.211114596555625
"01be28e7f951c0105f7d66205c445c22",4,0.00266560021645425
"01be28e7f951c0105f7d66205c445c22",5,0.780887936369445
"01c154c0efe1fbd27e7602905899107a",1,0.0748857383101504
"01c154c0efe1fbd27e7602905899107a",2,0.822036480098658
"01c154c0efe1fbd27e7602905899107a",3,0.0005220362458802
"01c154c0efe1fbd27e7602905899107a",4,0.000522050147646959
"01c154c0efe1fbd27e7602905899107a",5,0.102033695197664
"01c4f44a792557acfb1523cffc3b0524",1,0.411913611140087
"01c4f44a792557acfb1523cffc3b0524",2,0.525562835061927
"01c4f44a792557acfb1523cffc3b0524",3,0.000146049736662547
"01c4f44a792557acfb1523cffc3b0524",4,0.000146070845049451
"01c4f44a792557acfb1523cffc3b0524",5,0.0622314332162734
"01c6ed5c5785028e0bdc3ee03cdacef7",1,0.797843702484008
"01c6ed5c5785028e0bdc3ee03cdacef7",2,0.137639386996573
"01c6ed5c5785028e0bdc3ee03cdacef7",3,0.0380963595598692
"01c6ed5c5785028e0bdc3ee03cdacef7",4,0.000198956743935057
"01c6ed5c5785028e0bdc3ee03cdacef7",5,0.0262215942156149
"01cf0e992729e3435cd307639a734994",1,0.000822859934084615
"01cf0e992729e3435cd307639a734994",2,0.000822746122069201
"01cf0e992729e3435cd307639a734994",3,0.000823008855747265
"01cf0e992729e3435cd307639a734994",4,0.996708566292881
"01cf0e992729e3435cd307639a734994",5,0.00082281879521767
"01d1710209aaf67d4c0bce6296549ea4",1,0.000470511403868481
"01d1710209aaf67d4c0bce6296549ea4",2,0.546720058645822
"01d1710209aaf67d4c0bce6296549ea4",3,0.000470493561237896
"01d1710209aaf67d4c0bce6296549ea4",4,0.433548177832905
"01d1710209aaf67d4c0bce6296549ea4",5,0.0187907585561667
"01d59208522088aa16ae89d7497f1beb",1,0.000301542090907458
"01d59208522088aa16ae89d7497f1beb",2,0.000301556071212922
"01d59208522088aa16ae89d7497f1beb",3,0.998793800022567
"01d59208522088aa16ae89d7497f1beb",4,0.000301534587996799
"01d59208522088aa16ae89d7497f1beb",5,0.000301567227316358
"01d9058af83307a518d6867dcce058ad",1,0.00377237274496642
"01d9058af83307a518d6867dcce058ad",2,0.00377313028804621
"01d9058af83307a518d6867dcce058ad",3,0.00377258356875825
"01d9058af83307a518d6867dcce058ad",4,0.00377245137558504
"01d9058af83307a518d6867dcce058ad",5,0.984909462022644
"01dfd72fb4659d0bf371f3787c68daf9",1,0.887956154697298
"01dfd72fb4659d0bf371f3787c68daf9",2,0.0512149246447481
"01dfd72fb4659d0bf371f3787c68daf9",3,0.000285217331503241
"01dfd72fb4659d0bf371f3787c68daf9",4,0.000285222287727586
"01dfd72fb4659d0bf371f3787c68daf9",5,0.0602584810387234
"01ee48c2647a8f14326de77de0760115",1,0.000288482703074655
"01ee48c2647a8f14326de77de0760115",2,0.000288484469165829
"01ee48c2647a8f14326de77de0760115",3,0.998846057573837
"01ee48c2647a8f14326de77de0760115",4,0.000288476762347501
"01ee48c2647a8f14326de77de0760115",5,0.000288498491574741
"01eef7a17ea194d534dbf7c2110811d8",1,0.759557971998629
